model_key,candidate,pid,territory_score,territory_type,source
14_brooke_pinto,Brooke Pinto,1,0.500795,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,2,1.000000,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,3,1.000000,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,4,1.000000,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,5,1.000000,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,6,1.000000,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,7,0.381055,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,8,0.074868,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,9,0.021179,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,10,0.109467,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,11,0.565605,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,12,0.433431,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,13,1.000000,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,14,1.000000,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,15,1.000000,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,16,1.000000,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,17,1.000000,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,18,1.000000,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,19,0.625484,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,20,0.329681,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,21,1.000000,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,22,0.768385,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
14_brooke_pinto,Brooke Pinto,23,0.494369,ward_edge_decay,2024 Ward 2 council district; 0.75 km outside-edge decay
