model_key,contest_number,contest_name,contest_family,candidate,candidate_clean,candidate_votes,contest_votes,candidate_share,n_precincts,base_r2,expanded_r2,gain_vs_base,r2_no_prior,prior_unique_gain,r2_prior_only,new_demo_unique_gain,prior_count,prior_cols,mean_abs_resid_pp,valid_model,reliability
75_elissa_silverman,75,AT-LARGE MEMBER OF THE COUNCIL OF THE COLUMBIA,AT-LARGE COUNCIL,Elissa Silverman,ELISSA SILVERMAN,53318,95976,55.55347170125865,143,0.8505557559645482,0.9374636754404841,0.0869079194759359,0.8845744532674862,0.05288922217299796,0.9181359948629444,0.00479189084840137,2,"zprior_2022_general_certified_november_8_2022_general_election_certifi_elissa_silverman, zprior_2018_general_certified_november_6_2018_general_election_certifi_elissa_silverman",2.3189353824374423,True,high
75_jacque_d_patterson,75,AT-LARGE MEMBER OF THE COUNCIL OF THE COLUMBIA,AT-LARGE COUNCIL,Jacque D. Patterson,JACQUE D PATTERSON,18388,95976,19.15895640576811,144,0.8756699587094161,0.9156057342050231,0.03993577549560701,0.9029686278315048,0.012637106373518336,0.003605607540097644,0.019173283353045134,1,zprior_2020_general_certified_november_3_2020_general_election_certifi_jacque_patterson,2.197807576575414,True,high
27_charles_e_wilson,27,DEM AT-LARGE COMMITTEEMAN ,AT-LARGE COUNCIL,Charles E. Wilson,CHARLES E WILSON,32075,371910,8.624398375951172,141,0.7686553327867436,0.8850387839559181,0.11638345116917448,0.8520443942965906,0.03299438965932744,0.7069891272882207,0.045992533651895595,2,"zprior_2022_primary_certified_june_21_2022_primary_election_certified__charles_e_wilson, zprior_2018_primary_certified_june_19_2018_primary_election_certified__charles_e_wilson",1.002441088345585,True,high
28_linda_l_gray,28,DEM AT-LARGE COMMITTEEWOMAN ,AT-LARGE COUNCIL,Linda L Gray,LINDA L GRAY,30115,380764,7.909098549232596,142,0.7404956118551478,0.8573279885792457,0.11683237672409796,0.835157011276738,0.02217097730250772,0.7113524805398559,0.054644253225917705,1,zprior_2022_primary_certified_june_21_2022_primary_election_certified__linda_l_gray,0.9679425098883148,True,high
28_emily_siegel,28,DEM AT-LARGE COMMITTEEWOMAN ,AT-LARGE COUNCIL,Emily Siegel,EMILY SIEGEL,29767,380764,7.817703354308706,144,0.7438397274038301,0.835570362387057,0.09173063498322687,0.835570362387057,0.0,,0.09173063498322687,0,,0.7850732788347461,True,high
28_chioma_iwuoha,28,DEM AT-LARGE COMMITTEEWOMAN ,AT-LARGE COUNCIL,Chioma Iwuoha,CHIOMA IWUOHA,29581,380764,7.768854198401109,141,0.5305141555621082,0.8300614542971338,0.2995472987350256,0.6924372421580228,0.13762421213911102,0.6676077422740394,0.048351035126896535,2,"zprior_2018_primary_certified_june_19_2018_primary_election_certified__chioma_iwuoha, zprior_2022_primary_certified_june_21_2022_primary_election_certified__chioma_j_iwuoha",0.6573522393133852,True,high
28_l_a_lake_kuduk,28,DEM AT-LARGE COMMITTEEWOMAN ,AT-LARGE COUNCIL,Lïa Lake Kuduk,L A LAKE KUDUK,26992,380764,7.088905463751825,144,0.6919548189120105,0.8161649181811284,0.12421009926911786,0.8161649181811284,0.0,,0.12421009926911786,0,,0.8634492670298378,True,high
27_john_c_green,27,DEM AT-LARGE COMMITTEEMAN ,AT-LARGE COUNCIL,John C. Green,JOHN C GREEN,24876,371910,6.688715011696378,141,0.6245994375726869,0.8080316439485982,0.1834322063759113,0.7517084141404926,0.05632322980810556,0.2969982005190206,0.0802494490672232,2,"zprior_2022_primary_certified_june_21_2022_primary_election_certified__john_green, zprior_2018_primary_certified_june_19_2018_primary_election_certified__john_green",0.7972752089763095,True,high
27_dave_donaldson,27,DEM AT-LARGE COMMITTEEMAN ,AT-LARGE COUNCIL,Dave Donaldson,DAVE DONALDSON,24230,371910,6.515017074023286,141,0.6032285172724332,0.8036692925443798,0.2004407752719466,0.7431726129864841,0.06049667955789573,0.24761685274574285,0.07740870663819577,2,"zprior_2022_primary_certified_june_21_2022_primary_election_certified__dave_donaldson, zprior_2018_primary_certified_june_19_2018_primary_election_certified__dave_donaldson",0.7428159624108955,True,high
27_andrew_defrank,27,DEM AT-LARGE COMMITTEEMAN ,AT-LARGE COUNCIL,Andrew DeFrank,ANDREW DEFRANK,30172,371910,8.112715441907989,144,0.6615144494294973,0.7919543745385048,0.13043992510900748,0.7919543745385048,0.0,,0.13043992510900748,0,,0.7789047811307631,True,medium
27_jordan_kagelmayer,27,DEM AT-LARGE COMMITTEEMAN ,AT-LARGE COUNCIL,Jordan Kagelmayer,JORDAN KAGELMAYER,27065,371910,7.277298271087091,144,0.6665820547230688,0.7915413192970838,0.12495926457401507,0.7915413192970838,0.0,,0.12495926457401507,0,,0.837473465060802,True,medium
28_dionna_maria_lewis,28,DEM AT-LARGE COMMITTEEWOMAN ,AT-LARGE COUNCIL,Dionna Maria Lewis,DIONNA MARIA LEWIS,24492,380764,6.432330787574456,142,0.6757112750351604,0.7861703434122846,0.11045906837712427,0.7845975384820838,0.001572804930200844,0.23684060702900311,0.10299685350916299,1,zprior_2022_primary_certified_june_21_2022_primary_election_certified__dionna_maria_lewis,0.7582236731422984,True,medium
28_monica_roach,28,DEM AT-LARGE COMMITTEEWOMAN ,AT-LARGE COUNCIL,Monica Roaché,MONICA ROACH,25031,380764,6.5738882877582965,141,0.5353883055728277,0.7757862586358141,0.2403979530629864,0.6923332006317144,0.08345305800409963,0.031787067953497505,0.12756260952713483,2,"zprior_2018_primary_certified_june_19_2018_primary_election_certified__monica_roache, zprior_2022_primary_certified_june_21_2022_primary_election_certified__monica_l_roach",0.7817188314620709,True,medium
27_sam_bonar,27,DEM AT-LARGE COMMITTEEMAN ,AT-LARGE COUNCIL,Sam Bonar,SAM BONAR,29012,371910,7.800812024414509,144,0.6562408708592007,0.7730065010455531,0.11676563018635244,0.7730065010455531,0.0,,0.11676563018635244,0,,0.8845428335874455,True,medium
28_patricia_pat_elwood,28,DEM AT-LARGE COMMITTEEWOMAN ,AT-LARGE COUNCIL,Patricia (Pat) Elwood,PATRICIA PAT ELWOOD,22759,380764,5.977193222048303,141,0.49671394199602037,0.766656126053835,0.26994218405781467,0.6699153410759588,0.09674078497787619,0.3989867870363769,0.07239335521768075,2,"zprior_2022_primary_certified_june_21_2022_primary_election_certified__patricia_pat_elwood, zprior_2018_primary_certified_june_19_2018_primary_election_certified__patricia_pat_elwood",0.7373167809453657,True,medium
27_stuart_w_anderson,27,DEM AT-LARGE COMMITTEEMAN ,AT-LARGE COUNCIL,Stuart W. Anderson,STUART W ANDERSON,23184,371910,6.233766233766234,144,0.6140945922940302,0.7471901475425047,0.1330955552484745,0.7471901475425047,0.0,,0.1330955552484745,0,,0.8838443477341059,True,medium
