target_contest,target_candidate,target_family,prior_id,prior_file,prior_year,prior_type,prior_contest,prior_candidate,name_score,coverage
DEM MAYOR OF THE DISTRICT OF COLUMBIA,Ernest E. Johnson,MAYOR,prior_2018_primary_certified_june_19_2018_primary_election_certified__ernest_e_johnson,2018_primary_certified_june_19_2018_primary_election_certified_,2018,primary,MAYOR OF THE DISTRICT OF COLUMBIA,Ernest E. Johnson,1.0,143
DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,Phil Mendelson,COUNCIL CHAIR,prior_2022_primary_certified_june_21_2022_primary_election_certified__phil_mendelson,2022_primary_certified_june_21_2022_primary_election_certified_,2022,primary,DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,Phil Mendelson,1.0,144
DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,Phil Mendelson,COUNCIL CHAIR,prior_2022_general_certified_november_8_2022_general_election_certifi_phil_mendelson,2022_general_certified_november_8_2022_general_election_certifi,2022,general,CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,DEM Phil Mendelson,1.0,144
DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,Phil Mendelson,COUNCIL CHAIR,prior_2018_primary_certified_june_19_2018_primary_election_certified__phil_mendelson,2018_primary_certified_june_19_2018_primary_election_certified_,2018,primary,CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,Phil Mendelson,1.0,143
DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,Phil Mendelson,COUNCIL CHAIR,prior_2018_general_certified_november_6_2018_general_election_certifi_phil_mendelson,2018_general_certified_november_6_2018_general_election_certifi,2018,general,CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,Phil Mendelson,1.0,143
DEM AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,Fred Hill,AT-LARGE COUNCIL,prior_2022_general_certified_november_8_2022_general_election_certifi_fred_hill,2022_general_certified_november_8_2022_general_election_certifi,2022,general,AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,IND Fred Hill,1.0,144
DEM ATTORNEY GENERAL FOR THE DISTRICT OF COLUMBIA,Brian L. Schwalb,ATTORNEY GENERAL,prior_2022_primary_certified_june_21_2022_primary_election_certified__brian_schwalb,2022_primary_certified_june_21_2022_primary_election_certified_,2022,primary,DEM ATTORNEY GENERALFOR THE DISTRICT OF COLUMBIA,Brian Schwalb,0.9285714285714286,144
DEM ATTORNEY GENERAL FOR THE DISTRICT OF COLUMBIA,Brian L. Schwalb,ATTORNEY GENERAL,prior_2022_general_certified_november_8_2022_general_election_certifi_brian_schwalb,2022_general_certified_november_8_2022_general_election_certifi,2022,general,ATTORNEY GENERAL FOR THE DISTRICT OF COLUMBIA,DEM Brian Schwalb,0.9285714285714286,144
DEM UNITED STATES SENATOR ,Paul Strauss,UNITED STATES SENATOR,prior_2020_primary_certified_june_2_2020_primary_election_certified_r_paul_strauss,2020_primary_certified_june_2_2020_primary_election_certified_r,2020,primary,DEM UNITED STATES SENATOR,PAUL STRAUSS,1.0,144
DEM UNITED STATES SENATOR ,Paul Strauss,UNITED STATES SENATOR,prior_2020_general_certified_november_3_2020_general_election_certifi_paul_strauss,2020_general_certified_november_3_2020_general_election_certifi,2020,general,UNITED STATES SENATOR,DEM Paul Strauss,1.0,144
